sample_num,row,col,ohc14,van,cuma,parent_strain,strain_num,media,replicate
int,category,category,float,float,float,category,category,category,category
1,A,1,0,0,0,EcN,AJT275,M9,1
2,A,2,0,0,0,EcN,blank,blank,blank
3,A,3,0,0,0,EcN,AJT276,M9,1
4,A,4,0,0,0,EcN,blank,blank,blank
5,A,5,0,0,0,EcN,AJT278,M9,1
6,A,6,0,0,0,EcN,blank,blank,blank
7,B,1,0.01953125,0,0,EcN,AJT275,M9,1
8,B,2,0,0,0,EcN,blank,blank,blank
9,B,3,0,1.56125,0,EcN,AJT276,M9,1
10,B,4,0,0,0,EcN,blank,blank,blank
11,B,5,0,0,1.953125,EcN,AJT278,M9,1
12,B,6,0,0,0,EcN,blank,blank,blank
13,C,1,0.0390625,0,0,EcN,AJT275,M9,1
14,C,2,0,0,0,EcN,blank,blank,blank
15,C,3,0,6.25,0,EcN,AJT276,M9,1
16,C,4,0,0,0,EcN,blank,blank,blank
17,C,5,0,0,3.90625,EcN,AJT278,M9,1
18,C,6,0,0,0,EcN,blank,blank,blank
19,D,1,0.078125,0,0,EcN,AJT275,M9,1
20,D,2,0,0,0,EcN,blank,blank,blank
21,D,3,0,12.5,0,EcN,AJT276,M9,1
22,D,4,0,0,0,EcN,blank,blank,blank
23,D,5,0,0,7.8125,EcN,AJT278,M9,1
24,D,6,0,0,0,EcN,blank,blank,blank
25,E,1,0.15625,0,0,EcN,AJT275,M9,1
26,E,2,0,0,0,EcN,blank,blank,blank
27,E,3,0,25,0,EcN,AJT276,M9,1
28,E,4,0,0,0,EcN,blank,blank,blank
29,E,5,0,0,15.625,EcN,AJT278,M9,1
30,E,6,0,0,0,EcN,blank,blank,blank
31,F,1,0.3125,0,0,EcN,AJT275,M9,1
32,F,2,0,0,0,EcN,blank,blank,blank
33,F,3,0,50,0,EcN,AJT276,M9,1
34,F,4,0,0,0,EcN,blank,blank,blank
35,F,5,0,0,31.25,EcN,AJT278,M9,1
36,F,6,0,0,0,EcN,blank,blank,blank
37,G,1,1.25,0,0,EcN,AJT275,M9,1
38,G,2,0,0,0,EcN,blank,blank,blank
39,G,3,0,100,0,EcN,AJT276,M9,1
40,G,4,0,0,0,EcN,blank,blank,blank
41,G,5,0,0,62.5,EcN,AJT278,M9,1
42,G,6,0,0,0,EcN,blank,blank,blank
43,H,1,10,0,0,EcN,AJT275,M9,1
44,H,2,0,0,0,EcN,blank,blank,blank
45,H,3,0,200,0,EcN,AJT276,M9,1
46,H,4,0,0,0,EcN,blank,blank,blank
47,H,5,0,0,500,EcN,AJT278,M9,1
48,H,6,0,0,0,EcN,blank,blank,blank
